,epoch,training loss,validation loss
0,0,507515.04261779785,333038.15671539307
1,1,507070.2165222168,331924.68922042847
2,2,506328.7095489502,326523.3764343262
3,3,502902.23149490356,322523.7993469238
4,4,501853.21646881104,320413.4441986084
5,5,500971.68254470825,318659.546836853
6,6,500502.71308898926,317508.3562698364
7,7,499924.5121459961,316291.7124786377
8,8,499735.9301147461,315820.38150787354
9,9,499125.2129058838,314485.27367401123
10,10,498993.66732025146,313628.73014831543
11,11,498618.67611694336,312780.26469421387
12,12,498408.56842041016,312106.2992782593
13,13,498279.7959213257,310759.13791656494
14,14,498148.5474395752,310713.8903579712
15,15,497909.08572387695,309536.0888595581
16,16,497664.5474700928,309392.1683654785
17,17,498039.69244384766,309126.06606292725
18,18,497404.60722351074,308065.5633087158
19,19,497860.5346069336,307670.4075164795
20,20,497471.6230163574,307900.8148498535
21,21,497400.2501678467,306558.7532272339
22,22,497309.7694129944,307089.8293762207
23,23,497021.6944580078,306214.3488922119
24,24,496962.2557067871,305975.8999862671
25,25,497109.18550109863,305341.28718566895
26,26,496684.7571411133,305428.51139831543
27,27,496844.5478134155,304972.5200805664
28,28,496805.0037307739,305080.8261871338
29,29,496569.14808654785,304452.88890075684
30,30,496692.3293457031,303978.1962509155
31,31,496426.4959716797,304037.6989593506
32,32,496286.9627685547,303692.82194519043
33,33,496495.10876464844,303316.7865371704
34,34,496575.87380981445,303189.52532958984
35,35,497041.5229187012,303026.287979126
36,36,496716.4560546875,302469.02502441406
37,37,496640.41523742676,302758.3169708252
38,38,496346.31408691406,302472.1653137207
39,39,496512.5534667969,302154.46281433105
40,40,496329.1915435791,302110.6078186035
41,41,496288.3010482788,302050.26248168945
42,42,496663.4678554535,302013.61792755127
43,43,496447.5663909912,302002.49405670166
44,44,496380.7588195801,301854.91248321533
45,45,496280.8510437012,301239.0831298828
46,46,496580.62815856934,301711.2349243164
47,47,496330.3886413574,301443.862991333
48,48,496508.72830200195,301255.16876220703
49,49,496363.26669311523,301170.0478897095
50,50,496254.8560333252,300880.40715789795
51,51,496107.5758628845,300581.97201538086
52,52,496036.63862609863,300635.37870788574
53,53,496374.41482925415,300860.96688842773
54,54,496428.65336608887,300349.2223815918
55,55,496596.52531433105,300335.6617279053
56,56,496219.8879394531,300401.8544540405
57,57,496259.15715026855,300078.3044433594
58,58,496337.5760192871,300090.76246643066
59,59,496428.3617324829,300379.82331848145
60,60,496556.88442611694,300103.84854888916
61,61,496122.7547893524,300090.0277404785
62,62,496222.53244018555,300041.47705078125
63,63,496212.9595489502,299944.8489074707
64,64,496260.76083374023,300283.57735443115
65,65,496205.4739494324,300017.5806503296
66,66,496168.3435096741,299535.7526168823
67,67,496197.74992370605,299608.63986968994
68,68,496170.85150146484,299739.5824813843
69,69,496066.49838256836,299631.626083374
70,70,496450.0092163086,299295.7509536743
71,71,496475.7730255127,299358.4977798462
72,72,496203.84243774414,299587.5898513794
73,73,496231.6051635742,299222.52436828613
74,74,496097.63803100586,299486.07664489746
75,75,496239.7377319336,299018.05351257324
76,76,496104.4582977295,299364.7483215332
77,77,496332.01055908203,299414.81942749023
78,78,496366.3843231201,299065.464263916
79,79,496440.66006469727,299260.89653778076
80,80,496325.49491882324,299097.6251678467
81,81,496283.2218017578,299001.33055114746
82,82,496296.66426086426,298860.7516937256
83,83,496319.1450500488,298934.38442993164
84,84,496201.1897125244,299138.0985183716
85,85,496200.07276535034,299231.57164001465
86,86,496352.66162109375,298871.92654418945
87,87,496544.09801483154,299285.9352874756
88,88,496063.679107666,299026.8180999756
89,89,496221.06147766113,298989.13314056396
90,90,496251.782623291,298818.6778411865
91,91,496333.7928009033,299143.2388458252
92,92,496271.17503738403,299030.40503692627
93,93,496498.96548461914,299299.9382019043
94,94,496122.7252883911,298938.1951751709
95,95,496302.36600494385,298884.150970459
96,96,496224.50064086914,298918.26220703125
97,97,496073.4267272949,299134.2804336548
98,98,496358.8285064697,298693.3233718872
99,99,496416.5710144043,298612.46042633057
100,100,496386.59409332275,298837.59230804443
101,101,496082.07080078125,298625.5333099365
102,102,496330.83313941956,298774.69666290283
103,103,496317.1854248047,298482.3083496094
104,104,496210.4124317169,298840.8875579834
105,105,496320.1312713623,298640.6121444702
106,106,496285.3975830078,298591.0508880615
107,107,496345.06365966797,298675.9699935913
108,108,496078.56927490234,298703.71533203125
109,109,496247.050201416,298838.5827407837
110,110,495879.09466552734,298828.1440811157
111,111,496343.7659187317,298845.1996612549
112,112,496206.63594055176,299005.11933898926
113,113,496088.0610809326,298936.0566482544
114,114,496343.998085022,298704.5694503784
115,115,496130.55752563477,298694.6612701416
116,116,496415.7323913574,298876.7491607666
117,117,496180.8119735718,298529.3179016113
118,118,496158.33654785156,298620.80780792236
119,119,496146.3738937378,298610.7089996338
120,120,496314.3427734375,298338.1097640991
121,121,496359.97999572754,298865.33640289307
122,122,496066.2176055908,298617.9583892822
123,123,496087.3416748047,298555.09174346924
124,124,496220.54861450195,298741.42122650146
125,125,496301.1309661865,298241.3805923462
126,126,496265.7161254883,298465.8084945679
127,127,496195.02783203125,298728.58852386475
128,128,496081.42559814453,298559.00272369385
129,129,496163.91607666016,298907.80196380615
130,130,496165.27725219727,298735.06732940674
131,131,496626.6807861328,298128.0207672119
132,132,496466.7024383545,298777.4281539917
133,133,496168.51953125,298828.97479248047
134,134,496037.34700012207,298496.0481262207
135,135,496002.91251945496,298662.6847076416
136,136,495969.8883666992,298821.1548461914
137,137,496319.99227905273,298264.0016937256
138,138,496019.74005126953,298555.86458587646
139,139,496047.8103942871,298726.7287826538
140,140,496066.32818603516,298671.24168395996
141,141,495851.22871398926,298565.1324005127
142,142,496228.7699584961,298452.9278869629
143,143,495964.3128051758,298413.085899353
144,144,496234.5240020752,298625.31678009033
145,145,496178.4610977173,298741.8204650879
146,146,496156.72624206543,298476.50032043457
147,147,496177.08309936523,298705.9595031738
148,148,496029.85876464844,298588.4778442383
149,149,496064.5219421387,298813.8075027466
150,150,495984.8918609619,298529.10748291016
151,151,496007.9171447754,298539.3094100952
152,152,496328.532119751,298572.8715209961
153,153,496098.8550720215,298625.99893188477
154,154,495952.4945983887,298358.5401535034
155,155,496043.9265136719,298350.5916824341
156,156,496321.18536376953,298356.0065841675
157,157,495957.65341186523,298246.5923309326
158,158,496133.1363258362,298432.0640258789
159,159,495815.0849609375,298370.93327331543
160,160,496126.90717315674,298231.3607788086
161,161,496157.8803100586,298602.2762680054
162,162,495933.895111084,298059.3723297119
163,163,495985.762714386,298323.89614105225
164,164,496019.46228027344,298364.7364883423
165,165,496228.2400817871,298221.0189361572
166,166,496155.7850341797,297881.2257537842
167,167,496042.7336730957,298543.56898498535
168,168,496104.3476257324,298301.07385253906
169,169,496040.0944366455,298259.2749938965
170,170,495960.31661987305,298463.6973724365
171,171,495852.6971130371,298255.3104019165
172,172,496165.55267333984,298188.07626342773
173,173,495920.6984863281,298330.85705566406
174,174,496085.17724609375,298216.1049346924
175,175,496010.6261138916,296745.60440063477
176,176,496325.9050292969,298551.64042663574
177,177,495847.4203186035,297644.5932998657
178,178,495626.941696167,297930.83321380615
179,179,496062.44998168945,297405.1192703247
180,180,495718.2162094116,297673.5346984863
181,181,495575.3171424866,298452.18965148926
182,182,496094.1086425781,298309.95767974854
183,183,496257.33641052246,298553.3793106079
184,184,495835.5802001953,298271.9647064209
185,185,495578.74826049805,298224.3578414917
186,186,495818.1576843262,297393.69748687744
187,187,496334.65423583984,298868.59687042236
188,188,496212.91107177734,298125.8068847656
189,189,495550.848526001,297442.079498291
190,190,495931.1450691223,298212.25827789307
191,191,495835.15740966797,298276.60789489746
192,192,495979.1648712158,297631.65576171875
193,193,495744.3593902588,297843.2217941284
194,194,495738.02142333984,297434.34033966064
195,195,495847.5921936035,297761.78326416016
196,196,495941.4255218506,297146.44940948486
197,197,495506.5656890869,297841.54485321045
198,198,495600.2650756836,297332.6781692505
199,199,495940.99404907227,296936.0154647827
200,200,495557.2593688965,296578.6287841797
201,201,495751.17028808594,297277.02391052246
202,202,495586.2730255127,298047.7604446411
203,203,495818.25329589844,297365.03743743896
204,204,495355.19329833984,297487.67292785645
205,205,495550.8696594238,297620.90773010254
206,206,495873.67431640625,296796.72063446045
207,207,495712.2555541992,297943.40534210205
208,208,495877.88328552246,297989.98473358154
209,209,495533.1986694336,298100.9249191284
210,210,495305.24162864685,297553.8867034912
211,211,495758.2032318115,299163.7855606079
212,212,495879.225692749,298838.77208709717
213,213,496055.16201782227,297372.5280456543
214,214,495867.54051208496,299177.39183807373
215,215,496916.0007324219,299847.56640625
216,216,495670.5921020508,298372.4502334595
217,217,495466.99729156494,298792.857421875
218,218,495374.3437805176,298195.51678466797
219,219,495715.7106952667,299951.83835601807
220,220,495607.6919555664,299818.30894470215
221,221,495377.96075439453,298902.66621398926
222,222,495436.9459838867,296733.40186309814
223,223,495627.08923339844,296605.8430862427
224,224,494561.35456848145,299485.87635040283
225,225,495849.8540725708,300613.7983856201
226,226,495491.9870605469,299990.33448028564
227,227,495475.8611907959,298355.4959716797
228,228,495268.9204711914,297258.8353805542
229,229,495318.0274429321,296561.854057312
230,230,495695.1088409424,296749.59631347656
231,231,495507.4210510254,297558.8955154419
232,232,495358.01808166504,299067.913520813
233,233,494942.68032836914,298237.7025909424
234,234,496006.90464782715,298999.6683578491
235,235,496318.27497673035,299471.48152160645
236,236,496292.65480041504,299035.502822876
237,237,496175.6764526367,298583.90575408936
238,238,496107.32528686523,299146.57094573975
239,239,496116.45587158203,299152.36179351807
240,240,496119.1349029541,298639.73360443115
241,241,496150.5143737793,298731.41160583496
242,242,496154.056640625,298990.0406341553
243,243,496166.83741760254,299096.7819290161
244,244,496141.4704284668,298838.71002960205
245,245,496117.68521118164,299143.923286438
246,246,496255.47047424316,298631.55461883545
247,247,496075.87937545776,298776.54609680176
248,248,496078.0850753784,299138.78690338135
249,249,496079.95880126953,299271.06857299805
250,250,496087.25828552246,299007.7426452637
251,251,496218.1524810791,298430.3316497803
252,252,496080.1951446533,299012.89321899414
253,253,496064.7381591797,299108.021194458
254,254,496231.5053100586,298706.01958465576
255,255,496171.8752975464,298759.65785217285
256,256,496111.55795288086,299073.599029541
257,257,496763.0529537201,299281.67043304443
258,258,496098.1268310547,299102.1845703125
259,259,496146.8112411499,299209.1109085083
260,260,496144.6032104492,298073.6874694824
261,261,496248.77545928955,298455.7999649048
262,262,496281.58476638794,299339.7661437988
263,263,496098.82234191895,298455.5461883545
264,264,496110.96603393555,299005.8171234131
265,265,495946.1378173828,299275.2640914917
266,266,495917.7445335388,298594.33487701416
267,267,496092.1312866211,298415.8566207886
268,268,495934.6189727783,298864.53533935547
269,269,495947.71325683594,299759.1163711548
270,270,496445.71156311035,298456.5185699463
271,271,496022.6149597168,299468.8721694946
272,272,495909.89054870605,298451.8174209595
273,273,495883.7002105713,299196.0057601929
274,274,495762.0009994507,299252.3679962158
275,275,496094.79486083984,299044.4711303711
276,276,495719.77575683594,298755.4676513672
277,277,496116.8053588867,299057.7354660034
278,278,495819.97259521484,299408.7094192505
279,279,495877.9246520996,299682.6266784668
280,280,495577.4169921875,299285.0093078613
281,281,495707.2386703491,299328.67024993896
282,282,495585.04164123535,300109.0329284668
283,283,496268.0209350586,299750.3796310425
284,284,495181.70487976074,300042.04753112793
285,285,497065.63721466064,295329.5665664673
286,286,496124.4738006592,295900.56103515625
287,287,495801.359085083,296290.7684555054
288,288,495868.39043426514,296293.47567749023
289,289,495911.3232727051,296728.12732696533
290,290,495859.52320861816,296989.1847000122
291,291,495600.4996948242,298023.03479003906
292,292,495386.38903808594,298989.298576355
293,293,494159.6523132324,299129.1819000244
294,294,498402.7145690918,308409.31886291504
295,295,497433.5263595581,306063.518989563
296,296,497057.0729827881,302488.2657928467
297,297,496153.67474365234,304028.6580963135
298,298,495702.7355041504,303071.4810409546
299,299,495138.3610839844,303197.1233520508
300,300,494832.5981903076,302412.60440063477
301,301,494322.43772888184,302484.0480117798
302,302,494386.5377702713,304456.4458847046
303,303,493747.3369140625,301940.2152252197
304,304,494383.3645172119,302090.6340332031
305,305,491482.0502624512,300403.31732940674
306,306,493125.7367210388,300435.6371765137
307,307,498179.0280075073,316523.0227127075
308,308,495169.1021118164,302374.56798553467
309,309,496768.719165802,300377.9792098999
310,310,493549.03187561035,305681.77335357666
311,311,488434.78229522705,300921.673576355
312,312,489798.15590286255,296824.47258758545
313,313,490507.0128173828,298452.1862106323
314,314,487786.6823425293,301467.6026916504
315,315,492308.26083374023,297034.86278533936
316,316,489533.3011341095,300967.64685058594
317,317,484566.08990478516,294245.85523986816
318,318,488071.1675796509,296310.48988342285
319,319,488734.47677612305,297278.7914276123
320,320,489036.86361694336,312745.56159973145
321,321,492188.1592102051,308614.05375289917
322,322,494642.8391113281,304680.026222229
323,323,490881.3726654053,303068.1725578308
324,324,493057.8133544922,303347.7860240936
325,325,492803.9311981201,294754.26390838623
326,326,491899.6399536133,297405.05770492554
327,327,482094.17263793945,296580.36385154724
328,328,489487.42987823486,292456.63596343994
329,329,493625.03801345825,293061.89737319946
330,330,488070.4507141113,302273.6916847229
331,331,498962.7522277832,320274.7486152649
332,332,497488.01177215576,317179.2289352417
333,333,488405.3041687012,317668.3669204712
334,334,498960.82483673096,313998.2012023926
335,335,498518.4546852112,309439.3061904907
336,336,493277.8461380005,307845.5722503662
337,337,492391.3676147461,303596.7575035095
338,338,486013.7551269531,300424.07250213623
339,339,488098.99432373047,311816.34758758545
340,340,486787.41522979736,297293.73920822144
341,341,491789.7167663574,299537.6357574463
342,342,490285.8638191223,294902.4569206238
343,343,495179.65447998047,294684.9988861084
344,344,486070.20820617676,293713.7135486603
345,345,490821.3452606201,295655.9818611145
346,346,492360.7925720215,300161.2985191345
347,347,486010.06535339355,294968.6177749634
348,348,496638.42503356934,310204.46743011475
349,349,482154.4527282715,288085.92251205444
350,350,495542.83013534546,287898.3720970154
351,351,498118.02018737793,287836.7839946747
352,352,495309.3773651123,288114.8945045471
353,353,495296.84382629395,288397.98271369934
354,354,488073.0915298462,288597.9538383484
355,355,495003.96363830566,288696.9586906433
356,356,491137.43031311035,289700.35165023804
357,357,488143.2876281738,289787.6038265228
358,358,507149.2762451172,289642.7160873413
359,359,495844.20798397064,289214.12200546265
360,360,494434.4952316284,289457.6659049988
361,361,498400.1529388428,289604.15414237976
362,362,499325.6673049927,290096.3676300049
363,363,497301.9276275635,290521.205286026
364,364,504636.1020202637,290369.1936454773
365,365,494922.3451843262,290497.68883132935
366,366,494902.11877441406,290981.15964508057
367,367,494126.3937988281,291261.6805458069
368,368,497495.8105621338,291189.4185523987
369,369,488746.3727722168,292089.41037368774
370,370,496403.3181152344,292219.6313858032
371,371,498839.7621688843,294338.0145435333
372,372,491264.72091674805,297545.6432571411
373,373,509386.4479598999,320756.64180374146
374,374,496407.3282699585,316052.9392776489
375,375,496997.100189209,311912.24237823486
376,376,496246.317489624,308999.5797958374
377,377,496309.82987594604,305422.5825500488
378,378,491524.6559867859,301963.4301071167
379,379,498069.94120788574,302042.2697753906
380,380,499677.7552871704,304263.8595352173
381,381,494507.05879974365,302577.0061759949
382,382,495619.99504089355,302066.62703704834
383,383,491071.15129089355,306819.63062286377
384,384,487540.7188720703,307872.6973800659
385,385,492651.6418533325,310878.57788848877
386,386,493537.6220397949,317159.9067077637
387,387,493624.9966125488,306820.98893737793
388,388,497061.88973999023,295506.48903656006
389,389,495323.49922180176,293018.7904701233
390,390,501107.5261077881,290894.3978424072
391,391,493515.5836715698,291280.93159484863
392,392,493761.36740112305,291507.4905319214
393,393,492496.14933776855,291880.14279556274
394,394,494786.09995269775,293445.1918563843
395,395,491883.30239868164,291432.5936431885
396,396,499399.48600769043,292391.78869247437
397,397,486506.26863861084,291342.8473930359
398,398,491739.43731689453,291680.1836051941
399,399,488373.4790344238,307182.935256958
400,400,497397.6519584656,314608.9117050171
401,401,491831.19651794434,312336.1853027344
402,402,491843.27098083496,301676.57498168945
403,403,493454.5795135498,297103.75913619995
404,404,494227.80615234375,294977.62564086914
405,405,491369.0167388916,303972.4757041931
406,406,487538.5493927002,298803.67434310913
407,407,494314.68322753906,307271.95556640625
408,408,489079.880859375,287431.9733314514
409,409,491656.8531188965,287225.1774635315
410,410,496418.30714416504,303453.8624801636
411,411,491631.0246734619,301048.53077697754
412,412,493892.832195282,302310.07637786865
413,413,478995.0005722046,298546.72301483154
414,414,484591.85454177856,293370.109664917
415,415,487117.48931884766,311429.61810302734
416,416,490948.6549987793,285930.09263420105
417,417,500137.0563354492,286832.54789733887
418,418,486173.1926269531,292465.20403671265
419,419,485676.75079345703,291358.29623794556
420,420,483718.027469635,291655.0804977417
421,421,486651.9428405762,289849.4402065277
422,422,486756.00259017944,287192.7187232971
423,423,488957.16357421875,303375.2340812683
424,424,497592.1912536621,319170.62129211426
425,425,495043.1254577637,310594.65086364746
426,426,496595.4501953125,309511.5422821045
427,427,491002.10356903076,300519.66839790344
428,428,487467.582403183,299184.5267982483
429,429,480924.32317352295,299292.97494888306
430,430,482617.96433639526,297350.7552871704
431,431,490777.80865478516,299976.8334274292
432,432,487160.8120574951,300313.12062072754
433,433,486081.95960998535,303770.05340766907
434,434,491027.51953125,309156.04962158203
435,435,482956.62396240234,292003.98861312866
436,436,482890.60147094727,311037.2562713623
437,437,489434.48263549805,289551.621761322
438,438,481067.7238006592,289809.6399230957
439,439,481645.0879211426,300802.95069885254
440,440,481838.7763977051,292929.0616836548
441,441,484442.09872436523,289857.55406951904
442,442,472017.91358947754,284167.25230407715
443,443,464557.2141418457,307704.1398586035
444,444,493241.17303466797,280325.11839294434
445,445,481417.31031036377,281687.9278869629
446,446,481596.0509109497,284890.2326889038
447,447,472679.9892883301,288375.9828109741
448,448,467761.61515808105,290829.2996749878
449,449,472473.57496643066,334071.2195854187
450,450,493763.12696647644,322265.5478286743
451,451,482796.9868469238,304314.52546691895
452,452,475345.70642089844,304172.88620376587
453,453,470473.9945888519,296430.29597473145
454,454,466668.96363830566,294788.8581647873
455,455,468378.00927734375,286372.808347702
456,456,473217.49755859375,285377.1105232239
457,457,472677.6682987213,290479.7217273712
458,458,468388.92863464355,298118.7203216553
459,459,456557.1644384861,275035.7680053711
460,460,489341.5023612976,277492.71212768555
461,461,490606.13537597656,276887.98516845703
462,462,468791.0837955475,280254.5824623108
463,463,460669.50717163086,290549.3518791199
464,464,479723.6292877197,281411.94915008545
465,465,462363.4418334961,281666.6933822632
466,466,462217.9688472748,315917.005443573
467,467,452200.5973815918,278285.9769897461
468,468,507765.2629714012,272732.15103149414
469,469,507381.4127845764,274204.9493408203
470,470,505891.4707669616,275303.2320098877
471,471,503592.90141296387,279268.573135376
472,472,502723.6202583313,281177.97367858887
473,473,502025.3809661865,282785.63455200195
474,474,499659.0267791748,283729.6486816406
475,475,493621.364320755,284634.72912597656
476,476,491641.8712463379,286173.25984191895
477,477,489669.25131225586,287820.5089416504
478,478,489393.0195274353,286997.8625717163
479,479,476617.02896118164,333745.7872695923
480,480,450987.34356689453,293250.0387954712
481,481,496572.932723999,399758.5019454956
482,482,516219.5098648071,316698.8961029053
483,483,483232.78258132935,308455.0090942383
484,484,481064.85707855225,306898.12365341187
485,485,478698.29026794434,303127.4457473755
486,486,471973.5033016205,312243.8518371582
487,487,467502.5606613159,290994.25549316406
488,488,474741.89628601074,293172.7250366211
489,489,477169.819606781,300151.78775024414
490,490,463141.12523651123,321522.09508514404
491,491,472999.6016845703,279430.65983581543
492,492,482425.6658935547,283132.32191467285
493,493,493996.0989303589,282554.2637023926
494,494,493044.9451904297,283709.3241119385
495,495,492063.7275390625,284705.1701965332
496,496,490197.5475769043,285052.448638916
497,497,489189.79988098145,285873.7128601074
498,498,478405.5811767578,284877.6377105713
499,499,468762.8982887268,294212.52459716797
500,500,465486.36992645264,287223.3144378662
501,501,478247.3994445801,282293.6655883789
